LEASE,AcK_mbt_EarlyTime,TEFH,SwCALC,PhiCALC,VClayCALC,PermCALC,VLimeCALC,TOCCALC,Carbon13Isotope
BRISCOE GU1 STATE AR 2H,27177.6,272.815,0.187,0.096,0.171,413.554,0.482,6.12,-24.332
BRISCOE R 13H,35371.52,292.057,0.224,0.081,0.134,370.421,0.522,5.78,-24.846
BRISCOE R 14H,35109.44,269.082,0.154,0.09,0.186,435.361,0.546,6.194,-24.048
BRISCOE R GU5 STATE 145H,30231.85968,277.995,0.216,0.084,0.124,368.156,0.536,5.801,-24.099
BRISCOE R GU5 STATE 146H,43985.6,277.082,0.215,0.084,0.124,367.651,0.537,5.794,-24.022
BRISCOE R GU5 STATE 1483H,31859.52,274.922,0.21,0.085,0.128,370.87,0.54,5.8,-23.81
BRISCOE R GU6 STATE 1423H,35399.36,285.403,0.226,0.081,0.123,363.23,0.531,5.747,-24.477
BRISCOE R GU6 STATE 1433H,20412.8,283.91,0.225,0.082,0.122,363.181,0.532,5.749,-24.402
BRISCOE R GU6 STATE 1443H,39769.6,282.39,0.224,0.082,0.122,363.392,0.534,5.754,-24.32
BRISCOE STATE AR 8H,69755.84,279.076,0.183,0.098,0.168,425.272,0.472,6.178,-24.68
GALVAN RANCH LP GU1 STATE 9H,43622.4,267.878,0.178,0.099,0.172,460.413,0.486,6.387,-23.142
GALVAN STATE 5H,39097.6,275.836,0.184,0.099,0.168,436.857,0.475,6.253,-24.353
GALVAN STATE GU3 10H,51426.88,274.297,0.187,0.097,0.169,425.099,0.477,6.193,-24.112
