"","AcK_mbt_EarlyTime","TEFH","SwCALC","PhiCALC","VClayCALC","PermCALC","VLimeCALC","TOCCALC","RHOBCALC","PKOGIP","Carbon13Isotope"
"16",43985.6,277.082,0.215,0.084,0.124,367.651,0.537,5.794,2.421,0.0429,-24.022
"1",27177.6,272.815,0.187,0.096,0.171,413.554,0.482,6.12,2.41,0.018,-24.332
"19",20412.8,283.91,0.225,0.082,0.122,363.181,0.532,5.749,2.424,0.0468,-24.402
"18",35399.36,285.403,0.226,0.081,0.123,363.23,0.531,5.747,2.425,0.045,-24.477
"14",35109.44,269.082,0.154,0.09,0.186,435.361,0.546,6.194,2.407,0.0206,-24.048
"20",39769.6,282.39,0.224,0.082,0.122,363.392,0.534,5.754,2.423,0.0477,-24.32
"50",51426.88,274.297,0.187,0.097,0.169,425.099,0.477,6.193,2.407,0.0206,-24.112
"34",43622.4,267.878,0.178,0.099,0.172,460.413,0.486,6.387,2.399,0.0054,-23.142
"15",30231.8596805713,277.995,0.216,0.084,0.124,368.156,0.536,5.801,2.422,0.04,-24.099
